Series,Contract No.,BuySell,Contract,Price,Premium Amount,Brokerage Fee,VAT,WH,Charge Amount   Date  
S50H19,SH-00557,S,3,1089.00,0.00,51.30,3.59,0.00,54.89
S50H19,SH-00558,S,1,1089.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00559,S,1,1089.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00560,S,1,1089.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00561,S,5,1089.00,0.00,85.50,5.99,0.00,91.49
S50H19,BH-00562,B,15,1089.30,0.00,256.50,17.96,0.00,274.46
S50H19,BH-00563,B,5,1089.30,0.00,85.50,5.99,0.00,91.49
S50H19,BH-00564,B,5,1089.30,0.00,85.50,5.99,0.00,91.49
S50H19,BH-00565,B,3,1089.30,0.00,51.30,3.59,0.00,54.89
S50H19,BH-00566,B,1,1089.30,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00567,B,1,1089.30,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00568,B,1,1089.30,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00569,B,1,1089.30,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00570,B,1,1089.30,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00571,B,1,1089.30,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00572,S,1,1090.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00573,S,10,1090.00,0.00,171.00,11.97,0.00,182.97
S50H19,SH-00574,S,10,1090.00,0.00,171.00,11.97,0.00,182.97
S50H19,SH-00575,S,1,1090.00,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00576,S,12,1090.00,0.00,205.20,14.31,0.00,219.51
S50H19C1100,SH-00577,S,2,6.90,2760.00,70.20,4.91,0.00,75.11
S50H19C1100,SH-00578,S,1,6.90,1380.00,35.10,2.46,0.00,37.56
S50H19C1100,SH-00579,S,2,6.90,2760.00,70.20,4.92,0.00,75.12 21032019
S50H19,BH-00539,B,15,1091.00,0.00,256.50,17.96,0.00,274.46
S50H19,BH-00540,B,1,1091.00,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00541,B,1,1091.00,0.00,17.10,1.20,0.00,18.30
S50H19,BH-00542,B,5,1091.00,0.00,85.50,5.99,0.00,91.49
S50H19,BH-00543,B,9,1091.00,0.00,153.90,10.77,0.00,164.67
S50H19,BH-00544,B,5,1091.00,0.00,85.50,5.99,0.00,91.49
S50H19,BH-00545,B,8,1091.00,0.00,136.80,9.58,0.00,146.38
S50H19,BH-00546,B,2,1091.00,0.00,34.20,2.39,0.00,36.59
S50H19,BH-00547,B,4,1091.00,0.00,68.40,4.79,0.00,73.19
S50H19,SH-00548,S,4,1097.30,0.00,68.40,4.79,0.00,73.19
S50H19,SH-00549,S,1,1097.30,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00550,S,5,1097.30,0.00,85.50,5.99,0.00,91.49
S50H19,SH-00551,S,5,1097.50,0.00,85.50,5.99,0.00,91.49
S50H19,BH-00552,B,10,1096.70,0.00,171.00,11.97,0.00,182.97
S50H19,BH-00553,B,5,1096.30,0.00,85.50,5.99,0.00,91.49
S50H19C1100,SH-00554,S,1,10.00,2000.00,35.10,2.46,0.00,37.56
S50H19C1100,SH-00555,S,4,10.00,8000.00,140.40,9.83,0.00,150.23  22032019
S50H19,SH-00693,S,2,1088.50,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00694,S,1,1088.50,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00695,S,1,1088.50,0.00,17.10,1.20,0.00,18.30
S50H19,SH-00696,S,5,1088.50,0.00,85.50,5.99,0.00,91.49
S50H19,SH-00697,S,2,1088.50,0.00,34.20,2.39,0.00,36.59
S50H19,SH-00698,S,9,1088.50,0.00,153.90,10.77,0.00,164.67
S50H19,BH-00699,B,7,1080.00,0.00,119.70,8.38,0.00,128.08
